instance	load	latency	value
st-greg-1-in	high	low	10
st-greg-1-in	high	high	10
st-greg-1-in	low	low	10
st-greg-1-in	low	high	10
st-greg-2-in	high	low	10
st-greg-2-in	high	high	10
st-greg-2-in	low	low	10
st-greg-2-in	low	high	10
cesson-in	high	low	10
cesson-in	high	high	10
cesson-in	low	low	10
cesson-in	low	high	10
cesson-2-in	high	low	10
cesson-2-in	high	high	10
cesson-2-in	low	low	10
cesson-2-in	low	high	10
cesson-3-in	high	low	10
cesson-3-in	high	high	10
cesson-3-in	low	low	10
cesson-3-in	low	high	10
orvault-in	high	low	10
orvault-in	high	high	10
orvault-in	low	low	10
orvault-in	low	high	10
vertou-in	high	low	10
vertou-in	high	high	10
vertou-in	low	low	10
vertou-in	low	high	10
belcaire-in	high	low	10
belcaire-in	high	high	10
belcaire-in	low	low	10
belcaire-in	low	high	10
espezel-in	high	low	10
espezel-in	high	high	10
espezel-in	low	low	10
espezel-in	low	high	10
espezel-3	high	low	10
espezel-3	high	high	10
espezel-3	low	low	10
espezel-3	low	high	10
espezel-6-in	high	low	10
espezel-6-in	high	high	10
espezel-6-in	low	low	10
espezel-6-in	low	high	10
