instance	load	latency	value
st-greg-1-in	high	low	40
st-greg-1-in	high	high	40
st-greg-1-in	low	low	40
st-greg-1-in	low	high	40
st-greg-2-in	high	low	40
st-greg-2-in	high	high	40
st-greg-2-in	low	low	40
st-greg-2-in	low	high	40
cesson-in	high	low	40
cesson-in	high	high	40
cesson-in	low	low	40
cesson-in	low	high	40
cesson-2-in	high	low	40
cesson-2-in	high	high	40
cesson-2-in	low	low	40
cesson-2-in	low	high	40
cesson-3-in	high	low	40
cesson-3-in	high	high	40
cesson-3-in	low	low	40
cesson-3-in	low	high	40
orvault-in	high	low	40
orvault-in	high	high	40
orvault-in	low	low	40
orvault-in	low	high	40
vertou-in	high	low	40
vertou-in	high	high	40
vertou-in	low	low	40
vertou-in	low	high	40
belcaire-in	high	low	40
belcaire-in	high	high	40
belcaire-in	low	low	40
belcaire-in	low	high	40
espezel-in	high	low	40
espezel-in	high	high	40
espezel-in	low	low	40
espezel-in	low	high	40
espezel-3	high	low	40
espezel-3	high	high	40
espezel-3	low	low	40
espezel-3	low	high	40
espezel-6-in	high	low	40
espezel-6-in	high	high	40
espezel-6-in	low	low	40
espezel-6-in	low	high	40
