"","metric_group","metric_group_group","folder","score_type_rich","source","data_focus","N","score","sd","se","ci"
"1","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","aberdeen","All",10,1,0,0,0
"2","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","aberdeen","Worst 5%",1,1,NA,NA,NA
"3","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","ayr","All",5,1,0,0,0
"4","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","ayr","Worst 5%",1,1,NA,NA,NA
"5","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","ayr_in","All",3,1,0,0,0
"6","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","ayr_in","Worst 5%",1,1,NA,NA,NA
"7","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","barcelona","All",28,1,0,0,0
"8","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","barcelona","Worst 5%",2,1,0,0,0
"9","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","bari","All",6,1,0,0,0
"10","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","bari","Worst 5%",1,1,NA,NA,NA
"11","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","bari_in","All",4,1,0,0,0
